sw202 | Strike Witches 2 #02
Presenting Series 2's obligatory "main character is on a ship in distress on the second episode" episode.
00001 | Difference on the very first frame, golly. The zoom out from the Neuroi hives starts slightly further out on the BD version.
00128 | Quick flashbacks to last weeks episode, containing the same fixes.
00321 | 
00351 | 
04289 | Sakamoto's chin has been redrawn, and the collary bit of her cloak has been adjusted.
05640 | The shading on the crewman in the background have been tweaked.
08229 | During the beach scene with Sakamoto testing her shield, the shadows have been blurred and lightened in this shot.
08923 | Sakamoto doing the <a href="http://tvtropes.org/pmwiki/pmwiki.php/Main/BladeReflection">Mulan thing</a> with her sword has been redrawn shinier.
09011 | The TV version of this shot ends with a zoom while fading back to the <abbr title="present time">present day</abbr>, while the Blu-ray is static.
09251 | The background has been given some focal blur to draw attention to the foreground, Sakamoto's cloak is darker and Miyafuji's right cuff has had fixed shadows.
09266 | A few frames later, a single-frame dark patch under Miyafuji's shirt has been corrected.
09325 | Sakamoto's Reppumaru has been redrawn with new shadows and highlights. Miyafuji's eyes are less shiny.
09440 | The missing striker stand has been added behind Miyafuji.
09510 | The sky outside the window is a deeper shade of blue, and Sakamoto's face has had some changes. Her eyebrows are longer and her visible eye is shaded darker.
09571 | Her mouth has been moved downwards and a patch of shadow on her hair has been removed.
09651 | Extra shadow added to her left ear.
09780 | Again with the striker stand.
10055 | Miyafuji's eyes are shaded darker and Sakamoto's mouth has been reanimated, alongside the previous tweaks to Reppumaru.
10498 | Strikeerrrss.
10680 | Different shading in this scene, Miyafuji's swimsuit and strikers are shinier, the big green indicator light is brighter, and the metal stand is more metallic looking.
11036 | Shinier strikers.
11068 | This takeoff shot has been reframed.
11213 | Just like this flying shot.
11450 | The sky is tinged with red and blue from Miyafuji blocking Neuroi beams with her shield. As an added bonus, the cockpit is shaded darker.
11547 | The table in the center of the room has been re-textured with a nice wood grain, and the strikers resting ontop of it are looking much less flat.
12308 | In this frame of Lucchini doing cute Lucchini things, her ear has a fixed inner shadow and the patch on her sleeve is slightly different.
12350 | Ear, ear, ear.
